key,character,ability,kind,cost,uses,winRateWhenUsed,avgDamage,avgHealing,avgStatus,avgKills,avgValue,deathRateAfterUse,usedWhenBehind
"hyafrost:zero","Hyafrost","Absolute Zero","absoluteZeroConsume","2","354","50","9.34","0","0","0","9.34","0","240"
"smithen:shatter","Smithen","Shatter Shot","freezePayoff","2","480","58.8","5.68","0","0","0","5.68","0","289"
"kahro:assassinate","Kahro","Assassinate","attack","2","325","61.5","4.74","0","0","0","4.74","0","175"
"eva:bite","Lady Eva","Final Bite","bleedPayoff","2","221","60.2","4.07","0.42","0","0","4.36","0","158"
"eva:kiss","Lady Eva","Vampire Kiss","damageStatus","2","406","63.3","3.09","0","1.73","0","4.22","0","243"
"paleya:lance","Paleya","Mind Lance","hypnosisDamagePayoff","1","654","47.1","3.64","0","0","0","3.64","0","361"
"shaman:rupture","Bahl","Demon Rupture","demonRupture","2","685","43.8","3.53","0","0.02","0","3.55","0","404"
"poom:roar","Poom","Mesmer Roar","mesmerPayoff","2","177","48","3.45","0","0.02","0","3.47","0","74"
"bakub:toxin","Bakub","Mind Toxin","attack","1","249","61.8","3.46","0","0.02","0","3.47","0","129"
"yaura:price","Yaura","Blood Price","frontDamageForAllyHp","1","1018","34.5","3.21","0","0.03","0","3.23","4.5","516"
"kahro:needle","Kahro","Shadow Needle","attack","1","182","66.5","3.14","0","0","0","3.14","0","91"
"kku:break","K'ku","Glacier Break","attack","2","239","52.7","3.03","0","0","0","3.03","0","115"
"kku:slam","K'ku","Frost Slam","damageStatus","1","715","52.2","2.46","0","0.73","0","2.93","0","300"
"dravain:bash","Dravain","Shield Bash","armorStrike","1","464","69.2","2.87","0","0.01","0","2.88","0","199"
"hyafrost:field","Hyafrost","Frozen Field","rowStatus","2","429","45.5","0","0","4.23","0","2.75","0","225"
"maoja:breath","Maoja","Caustic Breath","rowStatus","2","555","56.8","0","0","4.08","0","2.65","0","186"
"bakub:fog","Bakub","Demon Fog","rowMultiStatus","2","592","51.2","0","0","3.71","0","2.41","0","385"
"poom:bash","Poom","Bash","attack","1","980","55.3","2.28","0","0.02","0","2.29","0","289"
"kku:roar","K'ku","Blizzard Roar","rowStatus","2","299","49.2","0","0","3.39","0","2.2","0","136"
"maoja:burst","Maoja","Rot Burst","poisonPayoff","2","155","58.1","2.12","0","0","0","2.12","0","55"
"smithen:iceNeedle","Smithen","Ice Needle","damageStatusOnHit","1","412","60.7","1.68","0","0.61","0","2.08","0","229"
"eva:stab","Lady Eva","Crimson Stab","bloodDash","1","448","68.3","2.05","0","0.01","0","2.06","0","249"
"shaman:mark","Bahl","Infect Mark","multiStatus","1","560","47.7","0","0","3","0","1.95","0","316"
"maoja:grip","Maoja","Corrosive Grip","attack","1","426","60.1","1.72","0","0","0","1.72","0","149"
"dravain:claim","Dravain","Blood Claim","bleedPayoff","2","39","56.4","1.26","0.49","0.08","0","1.65","0","21"
"paleya:mass","Paleya","Mass Suggestion","frontHypno","2","289","45","0","0","2.51","0","1.63","0","157"
"poom:bodyguard","Poom","Revenge Body","attack","2","253","47","1.38","0","0.03","0","1.4","0","91"
"shaman:plague","Bahl","Plague Wave","rowStatus","2","63","55.6","0","0","2.1","0","1.36","0","29"
"dravain:drain","Dravain","Vampiric Thrust","attack","2","271","68.3","1.2","0","0.03","0","1.22","0","105"
"shaman:proliferate","Bahl","Dark Proliferation","proliferate","2","6","66.7","0","0","1.83","0","1.19","0","1"
"kahro:mark","Kahro","Shadow Mark","multiStatus","1","652","56","0","0","1.65","0","1.08","0","393"
"bakub:vial","Bakub","Nightmare Vial","multiStatus","1","375","56.3","0","0","1.47","0","0.96","0","235"
"yaura:rain","Yaura","Red Rain","status","2","58","32.8","0","0","1","0","0.65","0","33"
"hyafrost:frostbite","Hyafrost","Frostbite","whiteout","1","343","44","0","0","0.96","0","0.62","0","193"
"smithen:pin","Smithen","Frost Pin","whiteout","1","336","55.7","0","0","0.93","0","0.61","0","177"
"paleya:mesmer","Paleya","Mesmerize","status","1","256","46.9","0","0","0.93","0","0.6","0","127"
"dravain:protect","Dravain","Protect Ally","protect","1","854","63.1","0","0","0","0","0","0","393"
"kahro:vanish","Kahro","Vanish","dodge","1","132","41.7","0","0","0","0","0","0","74"
"kku:guard","K'ku","Ice Guard","selfCounter","1","361","40.2","0","0","0","0","0","0","190"
"smithen:flash","Smithen","Whiteout Step","dodge","1","183","38.8","0","0","0","0","0","0","109"
"eva:mist","Lady Eva","Mist Step","dodge","1","188","59","0","0","0","0","0","0","115"
"yaura:bolt","Yaura","Blood Infusion","empowerNextAttack","1","230","39.1","0","0","0","0","0","0","89"
"yaura:ward","Yaura","Blood Ward","bloodWard","1","321","32.7","0","0","0","0","0","3.7","151"
"poom:guard","Poom","Mesmeric Taunt","poomMassGuardMind","1","407","42.3","0","0","0","0","0","0","210"
"maoja:hands","Maoja","Poison Hands","utility","1","117","54.7","0","0","0","0","0","0","39"
"hyafrost:armor","Hyafrost","Frost Armor","frostArmorRetaliate","1","203","50.2","0","0","0","0","0","0","112"
"paleya:mirror","Paleya","Mirror Guard","hypnosisCancelPayoff","1","168","41.7","0","0","0","0","0","0","103"
"bakub:future","Bakub","False Future","dodge","1","123","39","0","0","0","0","0","0","91"
