key,character,ability,kind,cost,uses,winRateWhenUsed,avgDamage,avgHealing,avgStatus,avgKills,avgValue,deathRateAfterUse,usedWhenBehind
"hyafrost:zero","Hyafrost","Absolute Zero","absoluteZeroConsume","2","416","58.2","9","0","0","0","9","0","248"
"smithen:shatter","Smithen","Shatter Shot","freezePayoff","2","467","66.6","5.75","0","0","0","5.75","0","312"
"kahro:assassinate","Kahro","Assassinate","attack","2","295","63.7","4.44","0","0","0","4.44","0","168"
"eva:bite","Lady Eva","Final Bite","bleedPayoff","2","214","59.3","4.09","0.44","0","0","4.4","0","141"
"paleya:lance","Paleya","Mind Lance","hypnosisDamagePayoff","1","627","52.5","3.65","0","0.01","0","3.65","0","338"
"shaman:rupture","Bahl","Demon Rupture","demonRupture","2","680","66.8","3.56","0","0","0","3.56","0","351"
"eva:kiss","Lady Eva","Vampire Kiss","damageStatus","2","389","56.3","2.08","0","1.76","0","3.23","0","221"
"yaura:price","Yaura","Blood Price","frontDamageForAllyHp","1","1270","29","3.19","0","0.01","0","3.2","4.1","583"
"bakub:toxin","Bakub","Mind Toxin","attack","1","215","51.6","3.03","0","0","0","3.03","0","102"
"kahro:needle","Kahro","Shadow Needle","attack","1","186","76.9","3.01","0","0","0","3.01","0","84"
"dravain:bash","Dravain","Shield Bash","armorStrike","1","521","57.4","2.92","0","0.02","0","2.93","0","248"
"kku:break","K'ku","Glacier Break","attack","2","252","42.9","2.89","0","0.04","0","2.92","0","114"
"kku:slam","K'ku","Frost Slam","damageStatus","1","620","47.9","2.36","0","0.79","0","2.87","0","242"
"poom:roar","Poom","Mesmer Roar","mesmerPayoff","2","139","36.7","2.85","0","0","0","2.85","0","75"
"maoja:breath","Maoja","Caustic Breath","rowStatus","2","519","49.7","0","0","4.17","0","2.71","0","187"
"hyafrost:field","Hyafrost","Frozen Field","rowStatus","2","485","56.9","0","0","4.15","0","2.7","0","219"
"bakub:fog","Bakub","Demon Fog","rowMultiStatus","2","540","35.2","0","0","3.63","0","2.36","0","380"
"maoja:burst","Maoja","Rot Burst","poisonPayoff","2","144","52.8","2.24","0","0.01","0","2.25","0","46"
"kku:roar","K'ku","Blizzard Roar","rowStatus","2","279","40.1","0","0","3.46","0","2.25","0","121"
"smithen:iceNeedle","Smithen","Ice Needle","damageStatusOnHit","1","356","66.6","1.79","0","0.6","0","2.18","0","189"
"eva:stab","Lady Eva","Crimson Stab","bloodDash","1","526","58.6","2.05","0","0.01","0","2.05","0","321"
"poom:bash","Poom","Bash","attack","1","927","54","2.03","0","0.01","0","2.03","0","359"
"shaman:mark","Bahl","Infect Mark","multiStatus","1","553","69.8","0","0","3","0","1.95","0","267"
"maoja:grip","Maoja","Corrosive Grip","attack","1","447","56.6","1.79","0","0.02","0","1.81","0","158"
"dravain:claim","Dravain","Blood Claim","bleedPayoff","2","68","39.7","1.29","0.44","0.1","0","1.67","0","34"
"paleya:mass","Paleya","Mass Suggestion","frontHypno","2","272","50","0","0","2.25","0","1.46","0","138"
"shaman:plague","Bahl","Plague Wave","rowStatus","2","47","59.6","0","0","2.04","0","1.33","0","22"
"shaman:proliferate","Bahl","Dark Proliferation","proliferate","2","1","100","0","0","2","0","1.3","0","1"
"dravain:drain","Dravain","Vampiric Thrust","attack","2","281","54.4","1.23","0","0","0","1.23","0","111"
"poom:bodyguard","Poom","Revenge Body","attack","2","342","55.3","1.12","0","0.04","0","1.14","0","146"
"kahro:mark","Kahro","Shadow Mark","multiStatus","1","604","60.3","0","0","1.62","0","1.05","0","384"
"bakub:vial","Bakub","Nightmare Vial","multiStatus","1","337","37.4","0","0","1.45","0","0.95","0","213"
"yaura:rain","Yaura","Red Rain","status","2","101","27.7","0","0","1","0","0.65","0","37"
"paleya:mesmer","Paleya","Mesmerize","status","1","245","52.7","0","0","0.93","0","0.61","0","102"
"hyafrost:frostbite","Hyafrost","Frostbite","whiteout","1","407","55.3","0","0","0.92","0","0.6","0","187"
"smithen:pin","Smithen","Frost Pin","whiteout","1","370","61.4","0","0","0.93","0","0.6","0","216"
"bakub:future","Bakub","False Future","dodge","1","114","35.1","0","0","0","0","0","0","67"
"yaura:bolt","Yaura","Blood Infusion","empowerNextAttack","1","322","29.2","0","0","0","0","0","0","133"
"yaura:ward","Yaura","Blood Ward","bloodWard","1","465","23.9","0","0","0","0","0","5.4","218"
"dravain:protect","Dravain","Protect Ally","protect","1","880","50","0","0","0","0","0","0","480"
"eva:mist","Lady Eva","Mist Step","dodge","1","228","51.8","0","0","0","0","0","0","147"
"poom:guard","Poom","Mesmeric Taunt","poomMassGuardMind","1","380","38.4","0","0","0","0","0","0","217"
"hyafrost:armor","Hyafrost","Frost Armor","frostArmorRetaliate","1","220","60.5","0","0","0","0","0","0","110"
"kku:guard","K'ku","Ice Guard","selfCounter","1","322","34.5","0","0","0","0","0","0","180"
"smithen:flash","Smithen","Whiteout Step","dodge","1","167","56.9","0","0","0","0","0","0","84"
"paleya:mirror","Paleya","Mirror Guard","hypnosisCancelPayoff","1","169","46.7","0","0","0","0","0","0","102"
"kahro:vanish","Kahro","Vanish","dodge","1","115","37.4","0","0","0","0","0","0","72"
"maoja:hands","Maoja","Poison Hands","utility","1","101","46.5","0","0","0","0","0","0","31"
