key,character,ability,kind,cost,uses,winRateWhenUsed,avgDamage,avgHealing,avgStatus,avgKills,avgValue,deathRateAfterUse,usedWhenBehind
"hyafrost:zero","Hyafrost","Absolute Zero","absoluteZeroConsume","2","632","49.8","9.12","0","0","0","9.12","0","371"
"smithen:shatter","Smithen","Shatter Shot","freezePayoff","2","848","65.1","5.77","0","0","0","5.77","0","512"
"kahro:assassinate","Kahro","Assassinate","attack","2","678","59.9","4.59","0","0","0","4.59","0","418"
"yaura:price","Yaura","Blood Price","bleedPayoff","1","929","63.1","4.4","0","0.01","0","4.41","0","468"
"eva:bite","Lady Eva","Final Bite","bleedPayoff","2","382","52.4","4.1","0.36","0","0","4.35","0","273"
"paleya:lance","Paleya","Mind Lance","hypnosisDamagePayoff","1","1388","43.9","4","0","0.01","0","4","0","699"
"shaman:rupture","Bahl","Demon Rupture","demonRupture","2","1319","58.8","3.5","0","0.03","0","3.52","0","767"
"poom:roar","Poom","Mesmer Roar","mesmerPayoff","2","268","51.5","3.46","0","0","0","3.46","0","105"
"yaura:rain","Yaura","Red Rain","selfAllStatus","2","325","57.8","0","0","5.16","0","3.36","1.5","155"
"eva:kiss","Lady Eva","Vampire Kiss","damageStatus","2","554","56.3","2.12","0","1.78","0","3.27","0","348"
"dravain:bash","Dravain","Shield Bash","armorStrike","1","743","58.7","3.2","0","0","0","3.2","0","344"
"bakub:toxin","Bakub","Mind Toxin","attack","1","416","68.8","3.19","0","0","0","3.19","0","144"
"kku:break","K'ku","Glacier Break","attack","2","508","47.6","3.01","0","0.01","0","3.02","0","267"
"kku:slam","K'ku","Frost Slam","damageStatus","1","1150","51.3","2.38","0","0.73","0","2.85","0","485"
"hyafrost:field","Hyafrost","Frozen Field","rowStatus","2","715","46.4","0","0","4.26","0","2.77","0","350"
"maoja:breath","Maoja","Caustic Breath","rowStatus","2","1061","52.8","0","0","4.26","0","2.77","0","369"
"bakub:fog","Bakub","Demon Fog","rowMultiStatus","2","973","51.8","0","0","3.67","0","2.39","0","563"
"maoja:burst","Maoja","Rot Burst","poisonPayoff","2","335","47.5","2.34","0","0.03","0","2.36","0","120"
"poom:bash","Poom","Bash","attack","1","1441","58.9","2.33","0","0.01","0","2.34","0","488"
"kahro:needle","Kahro","Shadow Needle","attack","1","232","63.8","2.3","0","0","0","2.3","0","114"
"kku:roar","K'ku","Blizzard Roar","rowStatus","2","507","42.8","0","0","3.46","0","2.25","0","219"
"eva:stab","Lady Eva","Crimson Stab","bloodDash","1","720","54.4","2.18","0","0.01","0","2.19","0","439"
"smithen:iceNeedle","Smithen","Ice Needle","damageStatusOnHit","1","628","64.8","1.78","0","0.59","0","2.17","0","347"
"shaman:mark","Bahl","Infect Mark","multiStatus","1","973","63.1","0","0","3","0","1.95","0","522"
"dravain:claim","Dravain","Blood Claim","bleedPayoff","2","135","48.9","1.62","0.44","0.01","0","1.94","0","78"
"maoja:grip","Maoja","Corrosive Grip","attack","1","856","52.5","1.86","0","0.01","0","1.86","0","310"
"paleya:mass","Paleya","Mass Suggestion","frontHypno","2","550","44.4","0","0","2.43","0","1.58","0","252"
"bakub:vial","Bakub","Nightmare Vial","multiStatus","1","665","56.7","0","0","2.43","0","1.58","0","349"
"dravain:drain","Dravain","Vampiric Thrust","attack","2","402","52","1.45","0","0.04","0","1.47","0","197"
"shaman:plague","Bahl","Plague Wave","rowStatus","2","79","77.2","0","0","2.25","0","1.46","0","35"
"poom:bodyguard","Poom","Revenge Body","attack","2","435","53.8","1.41","0","0.03","0","1.43","0","150"
"shaman:proliferate","Bahl","Dark Proliferation","proliferate","2","12","91.7","0","0","1.83","0","1.19","0","5"
"kahro:mark","Kahro","Shadow Mark","multiStatus","1","1513","50.7","0","0","1.56","0","1.01","0","1022"
"hyafrost:frostbite","Hyafrost","Frostbite","whiteout","1","582","49.5","0","0","0.95","0","0.62","0","254"
"smithen:pin","Smithen","Frost Pin","whiteout","1","582","63.2","0","0","0.93","0","0.61","0","317"
"paleya:mesmer","Paleya","Mesmerize","status","1","584","40.6","0","0","0.88","0","0.57","0","233"
"hyafrost:armor","Hyafrost","Frost Armor","frostArmorRetaliate","1","336","44","0","0","0","0","0","0","177"
"paleya:mirror","Paleya","Mirror Guard","hypnosisCancelPayoff","1","311","40.2","0","0","0","0","0","0","158"
"eva:mist","Lady Eva","Mist Step","dodge","1","374","50.5","0","0","0","0","0","0","235"
"dravain:protect","Dravain","Protect Ally","protect","1","1444","47","0","0","0","0","0","0","795"
"kahro:vanish","Kahro","Vanish","dodge","1","250","37.2","0","0","0","0","0","0","182"
"poom:guard","Poom","Mesmeric Taunt","poomMassGuardMind","1","532","44.2","0","0","0","0","0","0","206"
"yaura:bolt","Yaura","Blood Infusion","empowerNextAttack","1","792","46.1","0","0","0","0","0","0","404"
"yaura:ward","Yaura","Blood Ward","bloodWard","1","978","39.2","0","0","0","0","0","3.9","470"
"bakub:future","Bakub","False Future","dodge","1","139","46.8","0","0","0","0","0","0","73"
"kku:guard","K'ku","Ice Guard","selfCounter","1","609","40.1","0","0","0","0","0","0","291"
"maoja:hands","Maoja","Poison Hands","utility","1","230","51.7","0","0","0","0","0","0","77"
"smithen:flash","Smithen","Whiteout Step","dodge","1","240","56.7","0","0","0","0","0","0","127"
